variable;variable_old;item;text;info
gender;gender;NA;Mit welchem Geschlecht identifizieren Sie sich am ehesten?;"{""ImportId"":""QID3""}"
age;age;NA;Bitte geben Sie Ihr Alter in Jahren ein.;"{""ImportId"":""QID4_TEXT""}"
edu;edu;NA;Was ist Ihr höchster Bildungsabschluss?;"{""ImportId"":""QID5""}"
urban;urban;NA;Was beschreibt ihren aktuellen Wohnort am ehesten?;"{""ImportId"":""QID8""}"
ATI_1;ATI_1;Ich beschäftige mich gern genauer mit technischen Systemen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich beschäftige mich gern genauer mit technischen Systemen.;"{""ImportId"":""QID14_1""}"
ATI_2;ATI_2;Ich probiere gern die Funktionen neuer technischer Systeme aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.;"{""ImportId"":""QID14_2""}"
ATI_3;ATI_3;Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;"{""ImportId"":""QID14_3""}"
ATI_4;ATI_4;Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen;"{""ImportId"":""QID14_4""}"
TIA_1;TIA_1;Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein.;"{""ImportId"":""QID15_1""}"
TIA_2;TIA_2;Ich vertraue einem System eher als dass ich ihm misstraue.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Ich vertraue einem System eher als dass ich ihm misstraue.;"{""ImportId"":""QID15_2""}"
TIA_3;TIA_3;Automatisierte Systeme funktionieren generell gut.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Automatisierte Systeme funktionieren generell gut.;"{""ImportId"":""QID15_3""}"
TP_1;TP_1;Ich fühle mich frustriert, wenn ich innovative Services benutze.;Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Ich fühle mich frustriert, wenn ich innovative Services benutze.;"{""ImportId"":""QID13_1""}"
TP_2;TP_2;Wenn ich an innovative Services denke, werde ich nervös.;Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Wenn ich an innovative Services denke, werde ich nervös.;"{""ImportId"":""QID13_2""}"
TP_3;TP_3;Innovative Services schüchtern mich ein.;Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Innovative Services schüchtern mich ein.;"{""ImportId"":""QID13_3""}"
TP_4;TP_4;Mir ist es lieber, wenn ich bei meinen Angelegenheiten von Leuten bedient werde, als dass ich einen innovativen Service benutze.;Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Mir ist es lieber, wenn ich bei meinen Angelegenheiten von Leuten bedient werde, als dass ich einen innovativen Service benutze.;"{""ImportId"":""QID13_4""}"
TP_5;TP_5;Ich habe mehr Vertrauen zu einem Angestellten der Kommunalverwaltung als zu einem innovativen Service.;Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Ich habe mehr Vertrauen zu einem Angestellten der Kommunalverwaltung als zu einem innovativen Service.;"{""ImportId"":""QID13_5""}"
TP_6;TP_6;Die Angelegenheiten von Menschen sollten nicht von Maschinen erledigt werden.;Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Die Angelegenheiten von Menschen sollten nicht von Maschinen erledigt werden.;"{""ImportId"":""QID13_6""}"
TP_7;TP_7;Ich fühle mich wohl, wenn ich innovative Services benutze.;Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Ich fühle mich wohl, wenn ich innovative Services benutze.;"{""ImportId"":""QID13_7""}"
